prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,13252170320000,2020,49838,49838
60618,13234090600000,2020,30490,30490
60618,14193060050000,2020,85643,85643
60618,14191220010000,2020,145019,145019
60618,13133030120000,2020,34624,34624
60618,13233280140000,2019,35259,35259
60618,14191160220000,2019,65245,65245
60618,14183280031028,2019,33809,33809
60618,13143080270000,2017,43677,43677
60618,13262150290000,2017,45370,45370
60618,14183130240000,2017,47028,47028
60618,14183190320000,2020,63734,63734
60618,14191050270000,2020,139058,139058
60618,13133230280000,2020,7125,7125
60618,14193180441013,2020,1429,1429
60618,13262270441011,2020,14869,14869
60618,14301100020000,2020,14905,14905
60618,13243140680000,2020,21985,21985
60618,13144180090000,2017,21432,21432
60618,13143300110000,2019,53114,53114
60618,13133230551006,2019,35782,35782
60618,13134130070000,2016,31789,31789
60618,13244020100000,2016,0,0
60618,13242120060000,2019,109845,109845
60618,13133250090000,2020,27261,27261
60618,14302050020000,2020,47177,47177
60618,13241240020000,2017,12866,12866
60618,14301070080000,2020,62573,62573
60618,13133190210000,2020,27939,27939
60618,13232190391019,2020,8857,8857
60618,13143070401066,2020,1051,1051
60618,14193300521004,2017,31731,31731
60618,13231130030000,2019,53186,53186
60618,13261220330000,2019,14626,14626
60618,14193040180000,2020,19344,19344
60618,13243020110000,2020,28347,28347
60618,14301020461005,2020,40196,40196
60618,13242080350000,2020,35389,35389
60618,13242000340000,2017,41962,41962
60618,13243140510000,2017,31222,31222
60618,13231130200000,2017,4680,4680
60618,13143140060000,2019,48844,48844
60618,13233150270000,2019,30909,30909
60618,13262180880000,2019,89942,89942
60618,13143050160000,2016,36510,36510
60618,13252260250000,2016,37116,37116
60618,13262280380000,2017,125977,125977
60618,13133050140000,2017,30198,30198
60618,13134120070000,2020,35778,35778
60618,13231100450000,2020,0,0
60618,13144090250000,2017,32757,32757
60618,14193180130000,2017,109931,109931
60618,13262110360000,2020,33718,33718
60618,13133030381014,2019,19595,19595
60618,13134040360000,2017,42313,42313
60618,14301020471007,2018,44766,44766
60618,14193200160000,2019,137527,137527
60618,14301130440000,2016,355207,355207
60618,13133010421018,2016,5745,5745
60618,14301060971001,2017,30521,30521
60618,14191120120000,2020,94230,94230
60618,13244060451008,2016,13908,13908
60618,13233000150000,2020,29071,29071
60618,13262030280000,2017,72439,72439
60618,14193030130000,2020,70415,70415
60618,13243110200000,2020,44891,44891
60618,13231120341001,2018,21168,21168
60618,13241110320000,2018,30047,30047
